date,country,measure,source,name,y,text,tooltip,type,plotTextPosition,region
16.03.20,Sweden,social_distancing,https://mrc-ide.github.io/covid19estimates/#/interventions,social_distancing,4,Social distancing encouraged,Social distancing rules,start,top right,Sweden
01.01.99,Sweden,social_distancing,https://mrc-ide.github.io/covid19estimates/#/interventions,social_distancing,4,,End of Social distancing rules,end,top right,Sweden
28.02.20,Switzerland,ban_public_events,,event1000,10,Ban of events > 1000 people,"Ban of events > 1000 people <br> SR 818.101.24 COVID-19 Ordinance 1, 28.2.2020",start,top right,Switzerland
01.01.99,Switzerland,ban_public_events,,event1000,10,,End of ban of events > 1000 people,end,top right,Switzerland
13.03.20,Switzerland,border_closure,,partialBorderClosure,9,Partial border closure,"partial border closure <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020",start,top right,Switzerland
01.01.99,Switzerland,border_closure,,partialBorderClosure,9,,End of partial border closure,end,top right,Switzerland
13.03.20,Switzerland,ban_public_events,,event100,8,Ban of events > 100 people,"Ban of events > 100 people <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020",start,top right,Switzerland
01.01.99,Switzerland,ban_public_events,,event100,8,,End of ban of events > 100 people,end,top right,Switzerland
16.03.20,Switzerland,school_closure,,schoolClosure,7,School closure,"School closure <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020",start,top right,Switzerland
11.05.20,Switzerland,school_closure,,schoolClosure,7,,"End of school closure <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020",end,top right,Switzerland
17.03.20,Switzerland,social_distancing,,closureAll,6,Closure of all stores and markets,"Closure of all stores and markets <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020, Status as of 17.03.2020",start,top right,Switzerland
11.05.20,Switzerland,social_distancing,,closureAll,6,,End of closure of all stores and markets,end,top right,Switzerland
17.03.20,Switzerland,social_distancing,,closureZoo,5,"Closure of museums, zoos, etc.","Closure of museums, zoos, etc <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020, Status as of 17.03.2020",start,top right,Switzerland
01.01.99,Switzerland,social_distancing,,closureZoo,5,,"End of closure of museums, zoos, etc.",end,top right,Switzerland
17.03.20,Switzerland,social_distancing,,closureHair,4,"Closure of hairdresser, hardware stores & garden centers","Closure of hairdresser, hardware stores & garden centers <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020, Status as of 17.03.2020",start,top right,Switzerland
27.04.20,Switzerland,social_distancing,,closureHair,4,,"End of closure of hairdresser, hardware stores & garden centers <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020, Status as of 16.4.2020",end,top right,Switzerland
17.03.20,Switzerland,social_distancing,,closureBars,3,Closure of restaurants and bars,"Closure of restaurants and bars <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020, Status as of 17.3.2020",start,top right,Switzerland
11.05.20,Switzerland,social_distancing,,closureBars,3,,End of closure of restaurants and bars <br>,end,top right,Switzerland
21.03.20,Switzerland,lockdown,,gathering5,2,Ban of gatherings > 5 people,"Ban of gatherings > 5 people <br> SR 818.101.24 COVID-19 Ordinance 2, 13.3.2020, Status as of 20.3.2020",start,top right,Switzerland
01.01.99,Switzerland,lockdown,,gathering5,2,,End of ban of gatherings > 5 people <br>,end,top right,Switzerland
02.03.20,Switzerland,self_isolation,,handwashing,1,Additional hygiene rules,FOPH communicates additional hygiene rules,start,top right,Switzerland
01.01.99,Switzerland,self_isolation,,handwashing,1,,,end,top right,Switzerland
01.02.20,Switzerland,testing,,testing1,0,Testing of all symptomatic patients,Testing of all symptomatic patients,start,top left,Switzerland
06.03.20,Switzerland,testing,,testing1,0,Testing of all symptomatic patients,stop testing of all symptomatic patients,end,top right,Switzerland
23.04.20,Switzerland,testing,,testing2,0,,Testing of all symptomatic patients,start,top middle,Switzerland
01.01.99,Switzerland,testing,,testing2,0,,stop testing of all symptomatic patients,end,top right,Switzerland
